Front,Back
Define lvalue.,Expression with persistent identity; addressable.
Define prvalue.,Pure rvalue; temporary materializes (C++17+) when needed.
Define xvalue.,Expiring glvalue (e.g., result of std::move).
When does const T& extend lifetime?,When bound directly to a temporary; lasts to ref's scope.
Can T& bind to temporary?,No (non-const lvalue ref cannot bind to temporary).
What does std::move do?,Casts to rvalue to enable move; doesn’t move by itself.
When write a move ctor?,When owning resources or default move is wrong/disabled.
noexcept on move: why?,Enables container optimizations; prefer moving over copying.
RVO vs NRVO.,RVO: direct temporary elision; NRVO: named return object elision.
Guaranteed elision in C++17.,Certain prvalue returns construct directly; no copy/move.
Dangling reference example.,Returning reference to local; capturing local by ref across threads.
Rule of Zero.,Rely on RAII members; no manual special members.
Rule of Five.,If you define one of dtor/copy/move, consider defining the rest.
unique_ptr semantics.,Sole ownership; movable, not copyable.
shared_ptr semantics.,Reference counting; shared ownership.
weak_ptr purpose.,Observe without ownership; break cycles.
Aliasing shared_ptr.,Shares control block but different pointer; careful with lifetime.
make_unique vs new.,Prefer make_unique; exception safety and clarity.
make_shared benefit.,Single allocation for object + control block.
Custom deleter in unique_ptr.,Deleter type is part of unique_ptr type.
Partial specialization allowed?,For class/alias/variable templates; not function templates.
SFINAE.,Substitution failure is not an error; enables overload removal.
Concepts.,Declarative constraints with clearer diagnostics.
requires clause.,Attaches constraints to templates/overloads.
Parameter packs.,Variadics; expanded with fold expressions.
Fold expressions.,(pack op ...), (... op pack), etc. for reductions.
typename keyword.,Disambiguates dependent type names.
template keyword.,Disambiguates dependent template member call.
CRTP.,Static polymorphism via derived passing itself to base.
constexpr.,Compile-time evaluation when arguments permit.
Object slicing.,Assigning derived to base by value loses derived state.
override.,Marks overriding virtual; catches mismatches.
final.,Prevents further overriding/derivation.
Virtual inheritance.,Share one base subobject in diamond.
Pure virtual destructor.,Must be defined; allows abstract base with virtual dtor.
Placement new.,Construct object into pre-allocated memory.
Pointer arithmetic rule.,Only within same array/object; UB otherwise.
Const-correctness.,Express immutability; const methods promise no observable mutation.
mutable member.,Allows modification in const member functions.
const_cast usage.,Only remove constness when original object is non-const.
volatile is for.,Memory-mapped I/O, signal handlers; not thread safety.
std::variant vs union.,variant is type-safe tagged union with visitation.
Alignment tools.,alignas, alignof to control/query alignment.
Exception basic guarantee.,No leaks; object remains usable, maybe changed.
